id,dt,pricedelta,productoptionid,choiceid,current,created,updated
13987,2002-05-15 16:56:35-07,,13922,4,,2002-05-15 16:56:35-07,2002-05-15 16:56:35-07
13988,2002-05-15 16:56:35-07,,13922,6,,2002-05-15 16:56:35-07,2002-05-15 16:56:35-07
13989,2002-05-15 16:56:35-07,,13922,7,,2002-05-15 16:56:35-07,2002-05-15 16:56:35-07
13990,2002-05-15 16:56:35-07,,13922,6868,,2002-05-15 16:56:35-07,2002-05-15 16:56:35-07
13991,2002-05-15 16:56:35-07,,13922,9153,,2002-05-15 16:56:35-07,2002-05-15 16:56:35-07
13992,2002-05-15 16:56:35-07,,13922,11077,,2002-05-15 16:56:35-07,2002-05-15 16:56:35-07
34955,2007-05-25 15:46:19-07,0,32498,34644,,2007-05-25 15:46:19-07,2007-05-25 15:46:19-07
13176,2002-03-19 16:07:56-08,0,13170,32411,,2002-03-19 16:07:56-08,2002-03-19 16:07:56-08
34697,2007-04-09 18:59:49-07,0,34654,19663,,2007-04-09 18:59:49-07,2007-04-09 18:59:49-07
23485,2003-07-10 02:43:49-07,,23460,37265,,2003-07-10 02:43:49-07,2003-07-10 02:43:49-07
31966,2006-05-09 18:16:58-07,0,29012,31929,,2006-05-09 18:16:58-07,2006-05-09 18:16:58-07
23481,2003-07-10 02:43:49-07,0,23460,37266,,2003-07-10 02:43:49-07,2003-07-10 02:43:49-07
23484,2003-07-10 02:43:49-07,,23460,37262,,2003-07-10 02:43:49-07,2003-07-10 02:43:49-07
23483,2003-07-10 02:43:49-07,,23460,37263,,2003-07-10 02:43:49-07,2003-07-10 02:43:49-07
23487,2003-07-10 02:43:49-07,,23460,37260,,2003-07-10 02:43:49-07,2003-07-10 02:43:49-07
23488,2003-07-10 02:43:49-07,,23460,37261,,2003-07-10 02:43:49-07,2003-07-10 02:43:49-07
24715,2003-09-06 08:57:47-07,0,24519,34723,,2003-09-06 08:57:47-07,2003-09-06 08:57:47-07
35015,2007-06-11 18:28:40-07,0,35013,9,,2007-06-11 18:28:40-07,2007-06-11 18:28:40-07
31649,2005-12-24 08:29:46-08,0,31646,18049,,2005-12-24 08:29:46-08,2005-12-24 08:29:46-08
31648,2005-12-24 08:29:46-08,750,31646,18052,,2005-12-24 08:29:46-08,2005-12-24 08:29:46-08
31647,2005-12-24 08:29:45-08,450,31646,18051,,2005-12-24 08:29:45-08,2005-12-24 08:29:45-08
