id,dt,productid,optionid,defaultchoiceid,created,updated
8,2001-01-11 14:26:09-08,1,8,30,2001-01-11 14:26:09-08,2001-01-11 14:26:09-08
4,2001-01-30 16:25:35-08,1,4,19663,2001-01-30 16:25:35-08,2001-01-30 16:25:35-08
16,2001-01-11 14:26:09-08,2,8,30,2001-01-11 14:26:09-08,2001-01-11 14:26:09-08
3586,2001-03-07 18:37:57-08,6,5,5292,2001-03-07 18:37:57-08,2001-03-07 18:37:57-08
1070,2001-01-30 17:00:00-08,1,10,30,2001-01-30 17:00:00-08,2001-01-30 17:00:00-08
1130,2001-01-31 11:40:44-08,1,9,26,2001-01-31 11:40:44-08,2001-01-31 11:40:44-08
1162,2001-01-31 15:04:59-08,2,9,26,2001-01-31 15:04:59-08,2001-01-31 15:04:59-08
1244,2001-02-12 13:04:49-08,1228,10,30,2001-02-12 13:04:49-08,2001-02-12 13:04:49-08
3070,2001-03-07 13:41:42-08,3,4,19663,2001-03-07 13:41:42-08,2001-03-07 13:41:42-08
1279,2001-02-12 13:21:23-08,1228,6,30,2001-02-12 13:21:23-08,2001-02-12 13:21:23-08
1164,2001-01-31 15:05:25-08,2,10,30,2001-01-31 15:05:25-08,2001-01-31 15:05:25-08
1729,2001-03-06 12:33:50-08,1727,6,30,2001-03-06 12:33:50-08,2001-03-06 12:33:50-08
1733,2001-03-06 12:33:50-08,1727,3,9,2001-03-06 12:33:50-08,2001-03-06 12:33:50-08
1735,2001-03-06 12:33:50-08,1727,10,30,2001-03-06 12:33:50-08,2001-03-06 12:33:50-08
1736,2001-03-06 12:33:50-08,1727,9,26,2001-03-06 12:33:50-08,2001-03-06 12:33:50-08
2299,2001-03-06 13:32:13-08,2297,6,30,2001-03-06 13:32:13-08,2001-03-06 13:32:13-08
2303,2001-03-06 13:32:13-08,2297,3,9,2001-03-06 13:32:13-08,2001-03-06 13:32:13-08
2305,2001-03-06 13:32:13-08,2297,10,30,2001-03-06 13:32:13-08,2001-03-06 13:32:13-08
2306,2001-03-06 13:32:13-08,2297,9,26,2001-03-06 13:32:13-08,2001-03-06 13:32:13-08
2364,2001-03-07 10:00:10-08,1236,6,30,2001-03-07 10:00:10-08,2001-03-07 10:00:10-08
2368,2001-03-07 10:00:10-08,1236,3,9,2001-03-07 10:00:10-08,2001-03-07 10:00:10-08
2370,2001-03-07 10:00:10-08,1236,10,30,2001-03-07 10:00:10-08,2001-03-07 10:00:10-08
2478,2001-03-07 11:13:02-08,10,6,30,2001-03-07 11:13:02-08,2001-03-07 11:13:02-08
3292,2001-03-07 15:56:04-08,9,4,19663,2001-03-07 15:56:04-08,2001-03-07 15:56:04-08
2482,2001-03-07 11:13:02-08,10,3,9,2001-03-07 11:13:02-08,2001-03-07 11:13:02-08
