name,comment,cost,choicecategory,blurb,supplier,price,multiplier,published,sortorder
Intel Xeon E5-2697 v2 @ 2.70GHz,CPU Passmark score 17800,2749.99,CPUs,Intel Xeon E5-2697 v2 @ 2.70GHz - CPU Passmark score 17800,,,,True,1300
Intel Xeon E5-2690 v2 @ 3.00GHz,CPU Passmark score 17441,2149.99,CPUs,Intel Xeon E5-2690 v2 @ 3.00GHz - CPU Passmark score 17441,,,,True,1299
Intel Xeon E5-2680 v2 @ 2.80GHz,CPU Passmark score 16799,1743,CPUs,Intel Xeon E5-2680 v2 @ 2.80GHz - CPU Passmark score 16799,,,,True,1298
Intel Xeon E5-2687W v2 @ 3.40GHz,CPU Passmark score 16664,2199.99,CPUs,Intel Xeon E5-2687W v2 @ 3.40GHz - CPU Passmark score 16664,,,,True,1297
Intel Xeon E5-2667 v2 @ 3.30GHz,CPU Passmark score 16167,0.0,CPUs,Intel Xeon E5-2667 v2 @ 3.30GHz - CPU Passmark score 16167,,,,False,1296
Intel Xeon E5-2670 v2 @ 2.50GHz,CPU Passmark score 14638,1649.99,CPUs,Intel Xeon E5-2670 v2 @ 2.50GHz - CPU Passmark score 14638,,,,True,1295
Intel Xeon E5-2687W @ 3.10GHz,CPU Passmark score 14557,1912.99,CPUs,Intel Xeon E5-2687W @ 3.10GHz - CPU Passmark score 14557,,,,True,1294
Intel Xeon E5-2690 @ 2.90GHz,CPU Passmark score 14248,1899,CPUs,Intel Xeon E5-2690 @ 2.90GHz - CPU Passmark score 14248,,,,True,1293
Intel Core i7-4960X @ 3.60GHz,CPU Passmark score 14157,1049.99,CPUs,Intel Core i7-4960X @ 3.60GHz - CPU Passmark score 14157,,,,True,1292
Intel Xeon E5-2689 @ 2.60GHz,CPU Passmark score 13897,0.0,CPUs,Intel Xeon E5-2689 @ 2.60GHz - CPU Passmark score 13897,,,,False,1291
Intel Xeon E5-2658 v2 @ 2.40GHz,CPU Passmark score 13678,0.0,CPUs,Intel Xeon E5-2658 v2 @ 2.40GHz - CPU Passmark score 13678,,,,False,1290
Intel Xeon E5-1660 v2 @ 3.70GHz,CPU Passmark score 13432 - Price is last known price,1122.98,CPUs,Intel Xeon E5-1660 v2 @ 3.70GHz - CPU Passmark score 13432,,,,True,1289
Intel Core i7-4930K @ 3.40GHz,CPU Passmark score 13281,579.99,CPUs,Intel Core i7-4930K @ 3.40GHz - CPU Passmark score 13281,,,,True,1288
Intel Xeon E5-2680 @ 2.70GHz,CPU Passmark score 13230,1809.99,CPUs,Intel Xeon E5-2680 @ 2.70GHz - CPU Passmark score 13230,,,,True,1287
Intel Xeon E5-2670 @ 2.60GHz,CPU Passmark score 12867,1652.39,CPUs,Intel Xeon E5-2670 @ 2.60GHz - CPU Passmark score 12867,,,,True,1286
Intel Xeon E5-2650 v2 @ 2.60GHz,CPU Passmark score 12807,1299.99,CPUs,Intel Xeon E5-2650 v2 @ 2.60GHz - CPU Passmark score 12807,,,,True,1285
Intel Core i7-3970X @ 3.50GHz,CPU Passmark score 12796,999,CPUs,Intel Core i7-3970X @ 3.50GHz - CPU Passmark score 12796,,,,True,1284
Intel Core i7-3960X @ 3.30GHz,CPU Passmark score 12753,1017.5,CPUs,Intel Core i7-3960X @ 3.30GHz - CPU Passmark score 12753,,,,True,1283
Intel Xeon E5-1650 v2 @ 3.50GHz,CPU Passmark score 12542,704.19,CPUs,Intel Xeon E5-1650 v2 @ 3.50GHz - CPU Passmark score 12542,,,,True,1282
Intel Xeon E5-1660 @ 3.30GHz,CPU Passmark score 12474 - Price is last known price,1096.99,CPUs,Intel Xeon E5-1660 @ 3.30GHz - CPU Passmark score 12474,,,,True,1281
Intel Xeon E5-2665 @ 2.40GHz,CPU Passmark score 12446,1507.99,CPUs,Intel Xeon E5-2665 @ 2.40GHz - CPU Passmark score 12446,,,,True,1280
Intel Core i7-3930K @ 3.20GHz,CPU Passmark score 12154,569.99,CPUs,Intel Core i7-3930K @ 3.20GHz - CPU Passmark score 12154,,,,True,1279
Intel Xeon E5-2660 @ 2.20GHz,CPU Passmark score 11961,1346.99,CPUs,Intel Xeon E5-2660 @ 2.20GHz - CPU Passmark score 11961,,,,True,1278
Intel Xeon E5-4650 @ 2.70GHz,CPU Passmark score 11960 - Price is last known price,3899.99,CPUs,Intel Xeon E5-4650 @ 2.70GHz - CPU Passmark score 11960,,,,True,1277
Intel Xeon E5-1650 @ 3.20GHz,CPU Passmark score 11616,603.99,CPUs,Intel Xeon E5-1650 @ 3.20GHz - CPU Passmark score 11616,,,,True,1276
Intel Xeon E5-2470 @ 2.30GHz,CPU Passmark score 11149 - Price is last known price,1479.99,CPUs,Intel Xeon E5-2470 @ 2.30GHz - CPU Passmark score 11149,,,,True,1275
Intel Xeon E5-2667 @ 2.90GHz,CPU Passmark score 10482 - Price is last known price,1552.0,CPUs,Intel Xeon E5-2667 @ 2.90GHz - CPU Passmark score 10482,,,,True,1274
Intel Xeon E5-2650 @ 2.00GHz,CPU Passmark score 10460,1125.99,CPUs,Intel Xeon E5-2650 @ 2.00GHz - CPU Passmark score 10460,,,,True,1273
Intel Xeon E5-2630 v2 @ 2.60GHz,CPU Passmark score 10447,641.99,CPUs,Intel Xeon E5-2630 v2 @ 2.60GHz - CPU Passmark score 10447,,,,True,1272
Intel Xeon E3-1280 v3 @ 3.60GHz,CPU Passmark score 10420,0.0,CPUs,Intel Xeon E3-1280 v3 @ 3.60GHz - CPU Passmark score 10420,,,,False,1271
Intel Core i7-4770R @ 3.20GHz,CPU Passmark score 10375,0.0,CPUs,Intel Core i7-4770R @ 3.20GHz - CPU Passmark score 10375,,,,False,1270
AMD FX-9590 Eight-Core,CPU Passmark score 10358,329.99,CPUs,AMD FX-9590 Eight-Core - CPU Passmark score 10358,,,,True,1269
Intel Core i7-4770K @ 3.50GHz,CPU Passmark score 10340,299.99,CPUs,Intel Core i7-4770K @ 3.50GHz - CPU Passmark score 10340,,,,True,1268
Intel Xeon E3-1270 v3 @ 3.50GHz,CPU Passmark score 10175,349.99,CPUs,Intel Xeon E3-1270 v3 @ 3.50GHz - CPU Passmark score 10175,,,,True,1267
Intel Core i7-4960HQ @ 2.60GHz,CPU Passmark score 10166,0.0,CPUs,Intel Core i7-4960HQ @ 2.60GHz - CPU Passmark score 10166,,,,False,1266
Intel Core i7-4771 @ 3.50GHz,CPU Passmark score 10070,319.99,CPUs,Intel Core i7-4771 @ 3.50GHz - CPU Passmark score 10070,,,,True,1265
Intel Core i7-4770 @ 3.40GHz,CPU Passmark score 9949,307.39,CPUs,Intel Core i7-4770 @ 3.40GHz - CPU Passmark score 9949,,,,True,1264
Intel Core i7-4820K @ 3.70GHz,CPU Passmark score 9931,324.99,CPUs,Intel Core i7-4820K @ 3.70GHz - CPU Passmark score 9931,,,,True,1263
Intel Xeon E3-1290 V2 @ 3.70GHz,CPU Passmark score 9930 - Price is last known price,885.0,CPUs,Intel Xeon E3-1290 V2 @ 3.70GHz - CPU Passmark score 9930,,,,True,1262
Intel Xeon W3690 @ 3.47GHz,CPU Passmark score 9880 - Price is last known price,1110.99,CPUs,Intel Xeon W3690 @ 3.47GHz - CPU Passmark score 9880,,,,True,1261
Intel Xeon E3-1280 V2 @ 3.60GHz,CPU Passmark score 9795,669.99,CPUs,Intel Xeon E3-1280 V2 @ 3.60GHz - CPU Passmark score 9795,,,,True,1260
Intel Xeon E5-2640 @ 2.50GHz,CPU Passmark score 9761,899.99,CPUs,Intel Xeon E5-2640 @ 2.50GHz - CPU Passmark score 9761,,,,True,1259
Intel Xeon E5-2643 v2 @ 3.50GHz,CPU Passmark score 9751,0.0,CPUs,Intel Xeon E5-2643 v2 @ 3.50GHz - CPU Passmark score 9751,,,,False,1258
AMD FX-9370 Eight-Core,CPU Passmark score 9730,229.99,CPUs,AMD FX-9370 Eight-Core - CPU Passmark score 9730,,,,True,1257
Intel Xeon E3-1245 v3 @ 3.40GHz,CPU Passmark score 9716,274.99,CPUs,Intel Xeon E3-1245 v3 @ 3.40GHz - CPU Passmark score 9716,,,,True,1256
Intel Xeon E5-2658 @ 2.10GHz,CPU Passmark score 9667 - Price is last known price,899.95,CPUs,Intel Xeon E5-2658 @ 2.10GHz - CPU Passmark score 9667,,,,True,1255
Intel Xeon E3-1240 v3 @ 3.40GHz,CPU Passmark score 9663,279.99,CPUs,Intel Xeon E3-1240 v3 @ 3.40GHz - CPU Passmark score 9663,,,,True,1254
Intel Core i7-3770K @ 3.50GHz,CPU Passmark score 9652,316.99,CPUs,Intel Core i7-3770K @ 3.50GHz - CPU Passmark score 9652,,,,True,1253
Intel Xeon E3-1270 V2 @ 3.50GHz,CPU Passmark score 9635,339.99,CPUs,Intel Xeon E3-1270 V2 @ 3.50GHz - CPU Passmark score 9635,,,,True,1252
