name,comment,cost,choicecategory,blurb,supplier,price,multiplier,published,sortorder
"Intel Xeon E5-2697 v2 @ 2.70GHz",17800,2749.99,CPUs,,,,,t,1300
"Intel Xeon E5-2690 v2 @ 3.00GHz",17441,2149.99,,,,,,,
"Intel Xeon E5-2680 v2 @ 2.80GHz",16799,1743,,,,,,,
"Intel Xeon E5-2687W v2 @ 3.40GHz",16664,2199.99,,,,,,,
"Intel Xeon E5-2667 v2 @ 3.30GHz",16167,NA,,,,,,,
"Intel Xeon E5-2670 v2 @ 2.50GHz",14638,1649.99,,,,,,,
"Intel Xeon E5-2687W @ 3.10GHz",14557,1912.99,,,,,,,
"Intel Xeon E5-2690 @ 2.90GHz",14248,1899,,,,,,,
"Intel Core i7-4960X @ 3.60GHz",14157,1049.99,,,,,,,
"Intel Xeon E5-2689 @ 2.60GHz",13897,NA,,,,,,,
"Intel Xeon E5-2658 v2 @ 2.40GHz",13678,NA,,,,,,,
"Intel Xeon E5-1660 v2 @ 3.70GHz",13432,"$1,122.98*",,,,,,,
"Intel Core i7-4930K @ 3.40GHz",13281,579.99,,,,,,,
"Intel Xeon E5-2680 @ 2.70GHz",13230,1809.99,,,,,,,
"Intel Xeon E5-2670 @ 2.60GHz",12867,1652.39,,,,,,,
"Intel Xeon E5-2650 v2 @ 2.60GHz",12807,1299.99,,,,,,,
"Intel Core i7-3970X @ 3.50GHz",12796,999,,,,,,,
"Intel Core i7-3960X @ 3.30GHz",12753,1017.5,,,,,,,
"Intel Xeon E5-1650 v2 @ 3.50GHz",12542,704.19,,,,,,,
"Intel Xeon E5-1660 @ 3.30GHz",12474,"$1,096.99*",,,,,,,
"Intel Xeon E5-2665 @ 2.40GHz",12446,1507.99,,,,,,,
"Intel Core i7-3930K @ 3.20GHz",12154,569.99,,,,,,,
"Intel Xeon E5-2660 @ 2.20GHz",11961,1346.99,,,,,,,
"Intel Xeon E5-4650 @ 2.70GHz",11960,"$3,899.99*",,,,,,,
"Intel Xeon E5-1650 @ 3.20GHz",11616,603.99,,,,,,,
"Intel Xeon E5-2470 @ 2.30GHz",11149,"$1,479.99*",,,,,,,
"Intel Xeon E5-2667 @ 2.90GHz",10482,"$1,552.00*",,,,,,,
"Intel Xeon E5-2650 @ 2.00GHz",10460,1125.99,,,,,,,
"Intel Xeon E5-2630 v2 @ 2.60GHz",10447,641.99,,,,,,,
"Intel Xeon E3-1280 v3 @ 3.60GHz",10420,NA,,,,,,,
"Intel Core i7-4770R @ 3.20GHz",10375,NA,,,,,,,
"AMD FX-9590 Eight-Core",10358,329.99,,,,,,,
"Intel Core i7-4770K @ 3.50GHz",10340,299.99,,,,,,,
"Intel Xeon E3-1270 v3 @ 3.50GHz",10175,349.99,,,,,,,
"Intel Core i7-4960HQ @ 2.60GHz",10166,NA,,,,,,,
"Intel Core i7-4771 @ 3.50GHz",10070,319.99,,,,,,,
"Intel Core i7-4770 @ 3.40GHz",9949,307.39,,,,,,,
"Intel Core i7-4820K @ 3.70GHz",9931,324.99,,,,,,,
"Intel Xeon E3-1290 V2 @ 3.70GHz",9930,$885.00*,,,,,,,
"Intel Xeon W3690 @ 3.47GHz",9880,"$1,110.99*",,,,,,,
"Intel Xeon E3-1280 V2 @ 3.60GHz",9795,669.99,,,,,,,
"Intel Xeon E5-2640 @ 2.50GHz",9761,899.99,,,,,,,
"Intel Xeon E5-2643 v2 @ 3.50GHz",9751,NA,,,,,,,
"AMD FX-9370 Eight-Core",9730,229.99,,,,,,,
"Intel Xeon E3-1245 v3 @ 3.40GHz",9716,274.99,,,,,,,
"Intel Xeon E5-2658 @ 2.10GHz",9667,$899.95*,,,,,,,
"Intel Xeon E3-1240 v3 @ 3.40GHz",9663,279.99,,,,,,,
"Intel Core i7-3770K @ 3.50GHz",9652,316.99,,,,,,,
"Intel Xeon E3-1270 V2 @ 3.50GHz",9635,339.99,,,,,,,
"Intel Xeon E5-2440 @ 2.40GHz",9628,NA,,,,,,,
"Intel Core i7-4770S @ 3.10GHz",9590,306.89,,,,,,,
"Intel Core i7-4940MX @ 3.10GHz",9552,NA,,,,,,,
"Intel Xeon E3-1230 v3 @ 3.30GHz",9547,244.99,,,,,,,
"Intel Xeon E5-1620 v2 @ 3.70GHz",9545,$309.99*,,,,,,,
"Intel Xeon E3-1275 v3 @ 3.50GHz",9533,349.99,,,,,,,
"Intel Xeon E3-1275 V2 @ 3.50GHz",9512,349.99,,,,,,,
"Intel Core i7-4930MX @ 3.00GHz",9448,NA,,,,,,,
"Intel Core i7 X 990 @ 3.47GHz",9439,"$1,443.95*",,,,,,,
"Intel Core i7-3770 @ 3.40GHz",9405,291.99,,,,,,,
"Intel Xeon E3-1240 V2 @ 3.40GHz",9336,247.99,,,,,,,
"Intel Core i7-4850HQ @ 2.30GHz",9309,NA,,,,,,,
"Intel Xeon X5680 @ 3.33GHz",9275,$918.75*,,,,,,,
"Intel Xeon X5690 @ 3.47GHz",9258,"$1,776.35*",,,,,,,
"Intel Xeon E5-2637 v2 @ 3.50GHz",9255,NA,,,,,,,
"Intel Core i7-3940XM @ 3.00GHz",9222,$749.99*,,,,,,,
"Intel Core i7-3920XM @ 2.90GHz",9220,"$1,096.00*",,,,,,,
"Intel Xeon W3680 @ 3.33GHz",9179,$934.95*,,,,,,,
"Intel Xeon E5-1620 @ 3.60GHz",9153,$360.72*,,,,,,,
"AMD Opteron 6282 SE",9116,"$1,089.99*",,,,,,,
"Intel Core i7-4900MQ @ 2.80GHz",9087,589.99,,,,,,,
"AMD FX-8350 Eight-Core",9047,199.99,,,,,,,
"Intel Core i7-3840QM @ 2.80GHz",9035,$429.00*,,,,,,,
"Intel Xeon E3-1245 V2 @ 3.40GHz",9035,258.99,,,,,,,
"Intel Core i7-3820 @ 3.60GHz",9022,318.99,,,,,,,
"Intel Core i7-4770T @ 2.50GHz",9011,NA,,,,,,,
"Intel Core i7-3770S @ 3.10GHz",8975,288.99,,,,,,,
"Intel Core i7-2700K @ 3.50GHz",8933,349.99,,,,,,,
"Intel Core i7 X 980 @ 3.33GHz",8932,1049.99,,,,,,,
"Intel Xeon E5-2630 @ 2.30GHz",8907,625.87,,,,,,,
"Intel Xeon E3-1230 V2 @ 3.30GHz",8867,229.99,,,,,,,
"Intel Xeon E3-1265L v3 @ 2.50GHz",8859,NA,,,,,,,
"Intel Core i7 980 @ 3.33GHz",8823,$798.95*,,,,,,,
"Intel Xeon X5675 @ 3.07GHz",8717,1417.99,,,,,,,
"Intel Xeon E3-1290 @ 3.60GHz",8704,$885.00*,,,,,,,
"Intel Xeon W3670 @ 3.20GHz",8650,$597.99*,,,,,,,
"Intel Core i7-3820QM @ 2.70GHz",8608,$602.97*,,,,,,,
"Intel Core i7-2600K @ 3.40GHz",8604,339.99,,,,,,,
"Intel Core i7-4800MQ @ 2.70GHz",8592,$379.99*,,,,,,,
"Intel Xeon E5-2620 v2 @ 2.10GHz",8585,433.58,,,,,,,
"Intel Xeon E5-2643 @ 3.30GHz",8508,NA,,,,,,,
"Intel Core i7-4810MQ @ 2.80GHz",8493,NA,,,,,,,
"Intel Core i7 970 @ 3.20GHz",8480,$649.95*,,,,,,,
"Intel Xeon E3-1280 @ 3.50GHz",8472,$649.99*,,,,,,,
"Intel Core i7-3740QM @ 2.70GHz",8443,$389.99*,,,,,,,
"AMD Opteron 6376",8442,$926.22*,,,,,,,
"Intel 0000 @ 2.80GHz",8387,NA,,,,,,,
"Intel Core i7-3720QM @ 2.60GHz",8322,$401.89*,,,,,,,
"Intel Core i7-2600 @ 3.40GHz",8307,409.95,,,,,,,
"Intel Xeon X5670 @ 2.93GHz",8300,$400.00*,,,,,,,
