"name","comment","cost","choicecategory","blurb","supplier","price","multiplier","published","sortorder"
"2GB DDR3 Memory (1333/1600/1833)","speed depends on mobo, configuration, & total capacity",30,"DDR3","Motherboard & overall config determines speed options - if you have a requirement, indicate it in the Notes field",,,,1,1300
"4GB DDR3 Memory (1333/1600/1833)","speed depends on mobo, configuration, & total capacity",50,"DDR3","Motherboard & overall config determines speed options - if you have a requirement, indicate it in the Notes field",,,,1,1300
"8GB DDR3 Memory (1333/1600/1833)","speed depends on mobo, configuration, & total capacity",90,"DDR3","Motherboard & overall config determines speed options - if you have a requirement, indicate it in the Notes field",,,,1,1300
"16GB DDR3 Memory (1333/1600/1833)","speed depends on mobo, configuration, & total capacity",190,"DDR3","Motherboard & overall config determines speed options - if you have a requirement, indicate it in the Notes field",,,,1,1300
"4GB DDR4 Memory (2133/2400/2666)","speed depends on mobo, configuration, & total capacity",60,"DDR4","Motherboard & overall config determines speed options - if you have a requirement, indicate it in the Notes field",,,,1,1300
"8GB DDR4 Memory (2133/2400/2666)","speed depends on mobo, configuration, & total capacity",110,"DDR4","Motherboard & overall config determines speed options - if you have a requirement, indicate it in the Notes field",,,,1,1300
"16GB DDR4 Memory (2133/2400/2666)","speed depends on mobo, configuration, & total capacity",210,"DDR4","Motherboard & overall config determines speed options - if you have a requirement, indicate it in the Notes field",,,,1,1300
"32GB DDR4 Memory (2133/2400/2666)","speed depends on mobo, configuration, & total capacity",500,"DDR4","Motherboard & overall config determines speed options - if you have a requirement, indicate it in the Notes field",,,,1,1300
"64GB DDR4 Memory (2133/2400/2666)","speed depends on mobo, configuration, & total capacity",1000,"DDR4","Motherboard & overall config determines speed options - if you have a requirement, indicate it in the Notes field",,,,1,1300
"4GB DDR3 Memory (1333/1600/1833) ECC / REG","speed depends on mobo, configuration, & total capacity",55,"DDR3 ECC","Motherboard & overall config determines speed options - if you have a requirement, indicate it in the Notes field",,,,1,1300
"8GB DDR3 Memory (1333/1600/1833) ECC / REG","speed depends on mobo, configuration, & total capacity",100,"DDR3 ECC","Motherboard & overall config determines speed options - if you have a requirement, indicate it in the Notes field",,,,1,1300
"16GB DDR3 Memory (1333/1600/1833) ECC / REG","speed depends on mobo, configuration, & total capacity",200,"DDR3 ECC","Motherboard & overall config determines speed options - if you have a requirement, indicate it in the Notes field",,,,1,1300
"32GB DDR3 Memory (1333/1600/1833) ECC / REG","speed depends on mobo, configuration, & total capacity",450,"DDR3 ECC","Motherboard & overall config determines speed options - if you have a requirement, indicate it in the Notes field",,,,1,1300
"4GB DDR4 Memory (2133/2400/2666) ECC / REG","speed depends on mobo, configuration, & total capacity",65,"DDR4 ECC","Motherboard & overall config determines speed options - if you have a requirement, indicate it in the Notes field",,,,1,1300
"8GB DDR4 Memory (2133/2400/2666) ECC / REG","speed depends on mobo, configuration, & total capacity",115,"DDR4 ECC","Motherboard & overall config determines speed options - if you have a requirement, indicate it in the Notes field",,,,1,1300
"16GB DDR4 Memory (2133/2400/2666) ECC / REG","speed depends on mobo, configuration, & total capacity",220,"DDR4 ECC","Motherboard & overall config determines speed options - if you have a requirement, indicate it in the Notes field",,,,1,1300
"32GB DDR4 Memory (2133/2400/2666) ECC / REG","speed depends on mobo, configuration, & total capacity",550,"DDR4 ECC","Motherboard & overall config determines speed options - if you have a requirement, indicate it in the Notes field",,,,1,1300
"64GB DDR4 Memory (2133/2400/2666) ECC / REG","speed depends on mobo, configuration, & total capacity",1050,"DDR4 ECC","Motherboard & overall config determines speed options - if you have a requirement, indicate it in the Notes field",,,,1,1300
