name,comment,cost,choicecategory,blurb,supplier,price,multiplier,published,sortorder
"GeForce GTX 980 Ti","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: GeForce GTX 980 Ti
Rank: 1
G3DMark: 11,531
G2DMark: 855
Num Samples: 1034
Price: $639.99
","639.99","High-end GPUs","GeForce GTX 980 Ti:
G3D Mark score: 11,531
G2D Mark scrore: 855
","","","","True","1"
"GeForce GTX TITAN X","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: GeForce GTX TITAN X
Rank: 2
G3DMark: 10,995
G2DMark: 813
Num Samples: 305
Price: $999.99
","999.99","High-end GPUs","GeForce GTX TITAN X:
G3D Mark score: 10,995
G2D Mark scrore: 813
","","","","True","2"
"Quadro M6000","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: Quadro M6000
Rank: 3
G3DMark: 10,322
G2DMark: 750
Num Samples: 5
Price: $4,999.00
","4999.00","High-end GPUs","Quadro M6000:
G3D Mark score: 10,322
G2D Mark scrore: 750
","","","","True","3"
"GeForce GTX 980","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: GeForce GTX 980
Rank: 4
G3DMark: 9,756
G2DMark: 879
Num Samples: 3286
Price: $395.01
","395.01","High-end GPUs","GeForce GTX 980:
G3D Mark score: 9,756
G2D Mark scrore: 879
","","","","True","4"
"GeForce GTX 780 Ti","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: GeForce GTX 780 Ti
Rank: 5
G3DMark: 8,967
G2DMark: 895
Num Samples: 2513
Price: $385.00
","385.00","High-end GPUs","GeForce GTX 780 Ti:
G3D Mark score: 8,967
G2D Mark scrore: 895
","","","","True","5"
"GeForce GTX TITAN Black","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: GeForce GTX TITAN Black
Rank: 6
G3DMark: 8,659
G2DMark: 853
Num Samples: 206
Price: $1,849.99
","1849.99","High-end GPUs","GeForce GTX TITAN Black:
G3D Mark score: 8,659
G2D Mark scrore: 853
","","","","True","6"
"GeForce GTX 970","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: GeForce GTX 970
Rank: 7
G3DMark: 8,653
G2DMark: 852
Num Samples: 10648
Price: $317.93
","317.93","High-end GPUs","GeForce GTX 970:
G3D Mark score: 8,653
G2D Mark scrore: 852
","","","","True","7"
"GeForce GTX 780","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: GeForce GTX 780
Rank: 8
G3DMark: 8,031
G2DMark: 894
Num Samples: 5065
Price: $449.99
","449.99","High-end GPUs","GeForce GTX 780:
G3D Mark score: 8,031
G2D Mark scrore: 894
","","","","True","8"
"GeForce GTX TITAN Z","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: GeForce GTX TITAN Z
Rank: 9
G3DMark: 8,015
G2DMark: 803
Num Samples: 42
Price: $1,499.99
","1499.99","High-end GPUs","GeForce GTX TITAN Z:
G3D Mark score: 8,015
G2D Mark scrore: 803
","","","","True","9"
"GeForce GTX Titan","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: GeForce GTX Titan
Rank: 10
G3DMark: 7,929
G2DMark: 849
Num Samples: 699
Price: $2,054.59
","2054.59","High-end GPUs","GeForce GTX Titan:
G3D Mark score: 7,929
G2D Mark scrore: 849
","","","","True","10"
"Radeon R9 Fury X","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: Radeon R9 Fury X
Rank: 11
G3DMark: 7,908
G2DMark: 708
Num Samples: 47
Price: $529.99
","529.99","High-end GPUs","Radeon R9 Fury X:
G3D Mark score: 7,908
G2D Mark scrore: 708
","","","","True","11"
"Quadro K6000","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: Quadro K6000
Rank: 12
G3DMark: 7,695
G2DMark: 735
Num Samples: 46
Price: $4,590.99
","4590.99","High-end GPUs","Quadro K6000:
G3D Mark score: 7,695
G2D Mark scrore: 735
","","","","True","12"
"Radeon R9 295X2","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: Radeon R9 295X2
Rank: 13
G3DMark: 7,083
G2DMark: 764
Num Samples: 230
Price: $1,499.99
","1499.99","High-end GPUs","Radeon R9 295X2:
G3D Mark score: 7,083
G2D Mark scrore: 764
","","","","True","13"
"Radeon R9 290X / 390X","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: Radeon R9 290X / 390X
Rank: 14
G3DMark: 7,029
G2DMark: 765
Num Samples: 1988
Price: $299.99
","299.99","High-end GPUs","Radeon R9 290X / 390X:
G3D Mark score: 7,029
G2D Mark scrore: 765
","","","","True","14"
"Quadro M4000","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: Quadro M4000
Rank: 15
G3DMark: 6,808
G2DMark: 953
Num Samples: 3
Price: $889.00*
Price is last known price","889.00","High-end GPUs","Quadro M4000:
G3D Mark score: 6,808
G2D Mark scrore: 953
","","","","True","15"
"Radeon R9 290 / 390","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: Radeon R9 290 / 390
Rank: 16
G3DMark: 6,726
G2DMark: 754
Num Samples: 3391
Price: $239.99
","239.99","High-end GPUs","Radeon R9 290 / 390:
G3D Mark score: 6,726
G2D Mark scrore: 754
","","","","True","16"
"FirePro W9100","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: FirePro W9100
Rank: 17
G3DMark: 6,489
G2DMark: 680
Num Samples: 15
Price: $2,999.99*
Price is last known price","2999.99","High-end GPUs","FirePro W9100:
G3D Mark score: 6,489
G2D Mark scrore: 680
","","","","True","17"
"GeForce GTX 770","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: GeForce GTX 770
Rank: 18
G3DMark: 6,144
G2DMark: 857
Num Samples: 7956
Price: $370.99
","370.99","High-end GPUs","GeForce GTX 770:
G3D Mark score: 6,144
G2D Mark scrore: 857
","","","","True","18"
"GeForce GTX 980M","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: GeForce GTX 980M
Rank: 19
G3DMark: 6,135
G2DMark: 763
Num Samples: 438
Price: NA
","NA","High-end GPUs","GeForce GTX 980M:
G3D Mark score: 6,135
G2D Mark scrore: 763
","","","","True","19"
"Quadro K5200","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: Quadro K5200
Rank: 20
G3DMark: 6,098
G2DMark: 774
Num Samples: 88
Price: $1,781.00
","1781.00","High-end GPUs","Quadro K5200:
G3D Mark score: 6,098
G2D Mark scrore: 774
","","","","True","20"
"GeForce GTX 960","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: GeForce GTX 960
Rank: 21
G3DMark: 5,981
G2DMark: 756
Num Samples: 3040
Price: $179.99
","179.99","High-end GPUs","GeForce GTX 960:
G3D Mark score: 5,981
G2D Mark scrore: 756
","","","","True","21"
"GeForce GTX 680","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: GeForce GTX 680
Rank: 22
G3DMark: 5,719
G2DMark: 817
Num Samples: 4822
Price: $240.00
","240.00","High-end GPUs","GeForce GTX 680:
G3D Mark score: 5,719
G2D Mark scrore: 817
","","","","True","22"
"FirePro W8100","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: FirePro W8100
Rank: 23
G3DMark: 5,526
G2DMark: 781
Num Samples: 17
Price: $1,014.99
","1014.99","High-end GPUs","FirePro W8100:
G3D Mark score: 5,526
G2D Mark scrore: 781
","","","","True","23"
"Radeon R9 285 / 380","Scraped from Passmark: http://www.videocardbenchmark.net/high_end_gpus.html
Name: Radeon R9 285 / 380
Rank: 24
G3DMark: 5,509
G2DMark: 655
Num Samples: 395
Price: $166.20
","166.20","High-end GPUs","Radeon R9 285 / 380:
G3D Mark score: 5,509
G2D Mark scrore: 655
","","","","True","24"
